Country,Goal,Window,Model Type,Model,params,Error (MSE),Error (R2),Prediction Year,Prediction,Actual Value,Prediction Error
Niger,goal1,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0381abf0>,"Intercept   -1413.16
year            0.71
dtype: float64",2.492891319207093,0.8899221296631662,2021,12.042857142856974,12.0,0.04285714285697395
Niger,goal2,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0382e770>,"Intercept   -889.66
year           0.46
dtype: float64",1.4802460697197155,0.8554532105192936,2021,49.97142857142819,47.0,2.9714285714281914
Niger,goal3,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0382c6a0>,"Intercept   -2046.88
year            1.03
dtype: float64",0.8495101389838096,0.9807149211735013,2021,39.73809523809473,38.0,1.7380952380947292
Niger,goal4,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0382c910>,"Intercept   -725.97
year           0.36
dtype: float64",3.135497835497851,0.6292046128145696,2021,6.3190476190476375,4.0,2.3190476190476375
Niger,goal5,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0382f7c0>,"Intercept   -1518.26
year            0.77
dtype: float64",2.2453406242879757,0.9143016157364738,2021,35.55238095238087,37.0,-1.4476190476191277
Niger,goal6,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03849cc0>,"Intercept   -365.89
year           0.20
dtype: float64",0.1611300979721946,0.9116883116883164,2021,43.56190476190568,44.0,-0.43809523809431994
Niger,goal7,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03848e50>,"Intercept   -36.75
year          0.02
dtype: float64",4.388881294144453,0.005020661157024486,2021,10.4952380952382,11.0,-0.5047619047617999
Niger,goal8,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03848b20>,"Intercept   -144.39
year           0.11
dtype: float64",0.3123262702210059,0.5953955135773332,2021,70.83809523809822,70.0,0.8380952380982194
Niger,goal9,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0384bc40>,"Intercept   -671.98
year           0.34
dtype: float64",1.378833447254469,0.7715305043793467,2021,13.06190476190477,14.0,-0.9380952380952294
Niger,goal10,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0385d510>,"Intercept   -5053.52
year            2.54
dtype: float64",183.15989974937256,0.5885970344183133,2021,85.59047619047578,73.0,12.590476190475783
Niger,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0385e4d0>,"Intercept   -369.28
year           0.20
dtype: float64",5.235019366598295,0.23878544924463563,2021,37.54761904761864,38.0,-0.4523809523813611
Niger,goal13,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0385e0e0>,"Intercept   219.51
year         -0.06
dtype: float64",0.12604237867395654,0.5343434343434383,2021,98.77142857142792,99.0,-0.22857142857208146
Niger,goal15,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0385eaa0>,"Intercept   -1489.13
year            0.77
dtype: float64",11.649851902483393,0.6757609577922103,2021,75.18095238095384,78.0,-2.8190476190461595
Niger,goal16,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03878910>,"Intercept   6.14
year        0.02
dtype: float64",0.7093187514240146,0.024075235109717763,2021,48.133333333333695,50.0,-1.8666666666663048
Niger,goal17,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03878880>,"Intercept   -405.42
year           0.23
dtype: float64",1.1718614718614704,0.646314124604594,2021,59.14761904761917,63.0,-3.852380952380827
Nigeria,goal1,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0387b760>,"Intercept   -2814.84
year            1.42
dtype: float64",35.2626338573707,0.6976319326680369,2021,48.680952380952476,30.0,18.680952380952476
Nigeria,goal2,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03896860>,"Intercept   -113.91
year           0.08
dtype: float64",2.0169742538163553,0.12524703557312422,2021,56.69047619047652,57.0,-0.30952380952348335
Nigeria,goal3,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038947f0>,"Intercept   -1233.45
year            0.62
dtype: float64",2.6369788106631433,0.8570830554938068,2021,29.01428571428596,31.0,-1.9857142857140389
Nigeria,goal4,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03894580>,"Intercept   -327.45
year           0.18
dtype: float64",4.449760765550231,0.2314049586776874,2021,39.99999999999932,37.0,2.999999999999318
Nigeria,goal5,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038978b0>,"Intercept   -589.22
year           0.31
dtype: float64",4.235976304397433,0.47963222122703963,2021,38.08095238095268,36.0,2.080952380952681
Nigeria,goal6,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038a8f40>,"Intercept   -1352.58
year            0.70
dtype: float64",0.17562087035772256,0.9912013150084465,2021,59.49523809523862,60.0,-0.5047619047613807
Nigeria,goal7,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038aa140>,"Intercept   -1422.16
year            0.72
dtype: float64",5.147254499886125,0.8024096069410657,2021,29.28095238095284,28.0,1.28095238095284
Nigeria,goal8,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038a8c10>,"Intercept   -97.18
year          0.08
dtype: float64",0.6144452039188869,0.29953246753246876,2021,65.55238095238315,66.0,-0.447619047616854
Nigeria,goal9,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038abd30>,"Intercept   -1613.47
year            0.82
dtype: float64",6.546548188653392,0.8046025787497978,2021,34.828571428572104,41.0,-6.171428571427896
Nigeria,goal10,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038c1600>,"Intercept   -2639.04
year            1.34
dtype: float64",22.37286397812756,0.7659595006220729,2021,77.50000000000136,73.0,4.500000000001364
Nigeria,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038c25c0>,"Intercept   -330.19
year           0.18
dtype: float64",3.514080656185937,0.267440866343684,2021,29.38571428571504,28.0,1.3857142857150393
Nigeria,goal12,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038c22c0>,"Intercept   233.87
year         -0.07
dtype: float64",0.08368648894964727,0.696446280991734,2021,94.76666666666523,95.0,-0.23333333333476958
Nigeria,goal13,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038da4d0>,"Intercept   134.35
year         -0.02
dtype: float64",0.15702893597630294,0.07860962566845775,2021,97.60952380952554,98.0,-0.3904761904744589
Nigeria,goal14,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038d9a80>,"Intercept   -527.91
year           0.29
dtype: float64",0.4945317840054616,0.8749567922571742,2021,62.64285714285836,62.0,0.6428571428583609
Nigeria,goal15,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038daa40>,"Intercept   -1715.31
year            0.89
dtype: float64",22.939735702893657,0.5830089045350993,2021,82.59523809523898,74.0,8.595238095238983
Nigeria,goal16,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038daec0>,"Intercept   -130.73
year           0.08
dtype: float64",1.6498519024834803,0.14507674144037852,2021,37.247619047619594,36.0,1.2476190476195939
Nigeria,goal17,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038fe950>,"Intercept   32.50
year         0.02
dtype: float64",0.3525176577808158,0.036612702366126904,2021,69.24761904761716,73.0,-3.752380952382836
North Macedonia,goal1,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038fdf00>,"Intercept   -667.58
year           0.38
dtype: float64",6.472476646160877,0.4720935850739595,2021,96.20476190475893,96.0,0.20476190475892508
North Macedonia,goal2,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038fc670>,"Intercept   -378.74
year           0.22
dtype: float64",3.504397357028955,0.3550486413955015,2021,62.209523809523944,60.0,2.209523809523944
North Macedonia,goal3,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b038ff340>,"Intercept   -706.69
year           0.39
dtype: float64",0.6452494873547376,0.905068382944491,2021,80.71428571428635,80.0,0.7142857142863477
North Macedonia,goal4,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0371d030>,"Intercept   166.96
year         -0.05
dtype: float64",6.838642059694706,0.01422753547030775,2021,67.21904761904659,68.0,-0.7809523809534085
North Macedonia,goal5,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0371e230>,"Intercept   -2057.78
year            1.05
dtype: float64",5.555525176577809,0.8888003137626896,2021,57.70476190476211,54.0,3.7047619047621083
North Macedonia,goal6,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0371df30>,"Intercept   478.55
year         -0.20
dtype: float64",21.003235361130095,0.07338667524426035,2021,69.10476190476305,72.0,-2.895238095236948
North Macedonia,goal7,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0371fb80>,"Intercept   -716.92
year           0.39
dtype: float64",1.7670767828662253,0.7780026333867682,2021,73.10952380952506,72.0,1.109523809525058
North Macedonia,goal8,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037314b0>,"Intercept   -36.68
year          0.05
dtype: float64",4.212189564821143,0.021732458461212967,2021,60.43333333333404,66.0,-5.566666666665959
North Macedonia,goal9,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037326b0>,"Intercept   -2792.42
year            1.41
dtype: float64",2.7214627477784763,0.9672853809242102,2021,55.35714285714266,53.0,2.3571428571426623
North Macedonia,goal10,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03733550>,"Intercept   -5337.40
year            2.68
dtype: float64",41.86037821827335,0.8745245288997906,2021,85.18095238095157,80.0,5.180952380951567
North Macedonia,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0374a5c0>,"Intercept   -341.68
year           0.21
dtype: float64",0.6427887901572112,0.7409366391184573,2021,88.7714285714274,90.0,-1.228571428572593
North Macedonia,goal12,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03749930>,"Intercept   -307.20
year           0.19
dtype: float64",0.6933925723399409,0.6805269787948771,2021,78.62380952380994,78.0,0.623809523809939
North Macedonia,goal13,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0374ab30>,"Intercept   140.97
year         -0.03
dtype: float64",0.3836864889496478,0.06651884700664967,2021,88.47619047618991,89.0,-0.5238095238100868
North Macedonia,goal15,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0374bac0>,"Intercept   141.51
year         -0.03
dtype: float64",0.09596719070403192,0.29090909090909745,2021,78.51428571428593,79.0,-0.4857142857140673
North Macedonia,goal16,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b037609d0>,"Intercept   585.91
year         -0.26
dtype: float64",1.3823877876509345,0.6574082439299859,2021,68.85238095238037,69.0,-0.14761904761962796
North Macedonia,goal17,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03760250>,"Intercept   485.42
year         -0.21
dtype: float64",3.819093187514252,0.31421323950576663,2021,65.4761904761915,73.0,-7.523809523808495
